            identifier             ,       coord                           ,  Mag V
HD 106231                          ,12 13 25.0368397800 -38 55 45.068771388,5.75
* bet CVn                          ,12 33 44.5442516547 +41 21 26.921352859,4.25
* 6 CVn                            ,12 25 50.9385584448 +39 01 07.016331180,5.01
HD 109317                          ,12 33 38.9194903488 +33 14 51.294567840,5.38
* gam Com                          ,12 26 56.2720731 +28 16 06.321081      ,4.34
* 13 Com                           ,12 24 18.5489029728 +26 05 54.921403788,5.18
* 14 Com                           ,12 26 24.0644226936 +27 16 05.659806648,4.95
* 16 Com                           ,12 26 59.2962947904 +26 49 32.526134544,4.959
* 17 Com                           ,12 28 54.7022406648 +25 54 46.265813136,5.236
* 12 Com                           ,12 22 30.3113907816 +25 50 46.167660348,4.81
* 18 Com                           ,12 29 27.0424033224 +24 06 32.122207044,5.468
* 21 Com                           ,12 31 00.5605002264 +24 34 01.797245328,5.436
* 20 Com                           ,12 29 43.2400536144 +20 53 45.989241288,5.679
HD 108107                          ,12 25 11.7645188832 -11 36 38.118607308,5.926
HD 109272                          ,12 33 34.2587678832 -12 49 48.735952248,5.582
HD 109141                          ,12 32 35.9987021376 -13 51 32.784179616,5.726
* eta Crv                          ,12 32 04.2264018482 -16 11 45.618615379,4.294
* del Crv                          ,12 29 51.8551642 -16 30 55.552542      ,2.94
* 6 Crv                            ,12 23 21.5876710560 -24 50 26.413446192,5.658
HD 108821                          ,12 30 17.4453095208 -23 41 47.105485620,5.63
HD 108323                          ,12 26 51.6919370472 -32 49 48.446203188,5.558
* x01 Cen                          ,12 23 35.4195245064 -35 24 45.635998860,5.311
* x02 Cen                          ,12 25 21.7345431432 -35 11 11.098515732,5.707
HD 107860                          ,12 23 44.7474864240 -38 54 40.961650392,5.782
* u Cen                            ,12 28 22.4671645056 -39 02 28.190507856,5.439
* 10 CVn                           ,12 44 59.4049642264 +39 16 44.098132297,5.95
* 23 Com                           ,12 34 51.0805791 +22 37 45.330256      ,4.773
HD 109519                          ,12 35 08.1669518712 +21 52 52.987877328,5.86
* 26 Com                           ,12 39 07.3025867784 +21 03 45.300179376,5.49
* 24 Com A                         ,12 35 07.7605456776 +18 22 37.410763584,5.02
* 25 Com                           ,12 36 58.3317860232 +17 05 22.324887780,5.66
* rho Vir                          ,12 41 53.0569475088 +10 14 08.252569320,4.88
* d01 Vir                          ,12 41 57.1172895264 +06 48 23.817528576,5.573
V* FW Vir                          ,12 38 22.4057053224 +01 51 16.779667860,5.71
* gam Vir                          ,12 41 39.6282288151 -01 26 57.854228847,2.74
* gam Vir B                        ,12 41 39.5425844770 -01 26 57.847656959,3.49
HD 110646                          ,12 43 38.0495440368 -01 34 37.184663244,5.918
* f Vir                            ,12 36 47.3542031016 -05 49 54.841962612,5.88
* chi Vir                          ,12 39 14.7669620640 -07 59 44.033845848,4.643
* q Vir                            ,12 33 46.7478862 -09 27 07.477523      ,5.48
V* VV Crv                          ,12 41 15.9525645216 -13 00 50.036265504,5.843
HD 110318                          ,12 41 16.2277173792 -13 00 53.529499296,5.822
BD-12 3676                         ,12 41 15.95081 -13 00 50.0334          ,5.27
HD 109931                          ,12 38 44.6130768480 -18 15 00.372403188,5.982
* bet Crv                          ,12 34 23.2348393 -23 23 48.337453      ,2.64
HD 109799                          ,12 37 42.2793762600 -27 08 19.987900512,5.41
HD 110666                          ,12 44 00.5312996088 -28 19 26.246998776,5.454
HD 109960                          ,12 39 03.4508644488 -30 25 20.543101536,5.866
HD 109536                          ,12 35 45.5318060064 -41 01 19.008243912,5.114
* l Cen                            ,12 39 52.5283944 -39 59 14.290592      ,4.64
HD 109573                          ,12 36 01.0317461592 -39 52 10.220465388,5.774
* alf01 CVn                        ,12 56 00.4315081824 +38 18 53.469061020,5.6
V* DT CVn                          ,12 50 10.7400521424 +37 31 00.979591260,5.872
* alf02 CVn                        ,12 56 01.6662171 +38 19 06.154110      ,2.88
* 31 Com                           ,12 51 41.9201696640 +27 32 26.565016812,4.94
* 30 Com                           ,12 49 17.4507551424 +27 33 08.563249188,5.78
* 35 Com                           ,12 53 17.74703 +21 14 41.8092          ,4.91
* 27 Com                           ,12 46 38.7618429528 +16 34 39.676122480,5.12
* 29 Com                           ,12 48 54.2131506648 +14 07 21.311523480,5.681
* d02 Vir                          ,12 45 37.0584841 +07 40 23.969587      ,5.207
* del Vir                          ,12 55 36.2086058 +03 23 50.893225      ,3.38
* psi Vir                          ,12 54 21.1634176 -09 32 20.378283      ,4.8
HD 112131                          ,12 54 18.6593623080 -11 38 54.851329644,5.975
HD 111295                          ,12 48 26.2575347664 -27 35 50.581161564,5.658
HD 111032                          ,12 46 46.2279030048 -33 18 55.738301472,5.869
* p Cen                            ,12 50 41.1633885768 -33 59 57.652650456,4.894
HD 111774                          ,12 51 56.9310942840 -39 40 49.550426148,5.969
* n Cen                            ,12 53 26.2000107 -40 10 43.944054      ,4.27
HD 112213                          ,12 55 19.4317990920 -42 54 56.639555352,5.445
HD 112164                          ,12 54 58.5434001533 -44 09 06.955051834,5.89
* 14 CVn                           ,13 05 44.4355388112 +35 47 56.039769924,5.195
* 37 Com                           ,13 00 16.4694383232 +30 47 06.079456932,4.88
* 41 Com                           ,13 07 10.7299222671 +27 37 29.055438610,4.69
* 40 Com                           ,13 06 22.6020265896 +22 36 58.273099308,5.61
* 38 Com                           ,13 01 09.6152814960 +17 07 23.327673312,5.93
* 36 Com                           ,12 58 55.4429707776 +17 24 33.994292652,5
* eps Vir                          ,13 02 10.5978496 +10 57 32.941443      ,2.79
* k Vir                            ,12 59 39.5341551360 -03 48 42.973025724,5.791
HD 113852                          ,13 06 54.2569004184 -35 51 43.276892652,5.63
* 19 CVn                           ,13 15 31.9497751344 +40 51 18.729683928,5.777
* 20 CVn                           ,13 17 32.5409307 +40 34 21.387477      ,4.698
HD 115004                          ,13 13 42.9416937024 +40 09 10.386106164,4.94
* 17 CVn                           ,13 10 03.2160718968 +38 29 56.331420288,5.91
HD 114357                          ,13 09 38.6511264024 +37 25 23.230395336,5.99
HD 115723                          ,13 18 27.7273842840 +34 05 53.907694800,5.78
* bet Com                          ,13 11 52.3938268062 +27 52 41.462309460,4.25
HD 114326                          ,13 09 47.8475594496 +16 50 55.004141976,5.87
* alf Com                          ,13 09 59.28520 +17 31 46.0389          ,4.32
* alf Com A                        ,13 09 59.285492 +17 31 45.85645        ,4.8
* alf Com B                        ,13 09 59.288719 +17 31 46.24482        ,5.48
HD 115478                          ,13 17 15.6279440976 +13 40 32.706746400,5.33
HD 114780                          ,13 12 32.9201305680 +11 33 21.958827804,5.77
V* LN Vir                          ,13 14 31.2834703272 +11 19 53.963882148,5.67
HD 114256                          ,13 09 12.4347591312 +10 01 20.883994536,5.782
* sig Vir                          ,13 17 36.2832672 +05 28 11.522114      ,4.8
* tet Vir                          ,13 09 56.9889385680 -05 32 20.414634792,4.397
* g Vir                            ,13 08 32.4661100352 -08 59 03.776673768,5.564
* 49 Vir                           ,13 07 53.8128711672 -10 44 25.471334544,5.151
* 50 Vir                           ,13 09 45.2812131984 -10 19 45.622835976,5.943
* 53 Vir                           ,13 12 03.5431874543 -16 11 54.970689063,5.04
* 61 Vir                           ,13 18 24.3139864471 -18 18 40.297748582,4.74
* 55 Vir                           ,13 14 10.8951509520 -19 55 51.404410380,5.33
* 57 Vir                           ,13 15 58.7708690051 -19 56 35.161303899,5.22
* psi Hya                          ,13 09 03.2659754016 -23 07 04.957919256,4.934
* r Cen                            ,13 16 53.1318801144 -31 30 22.324588740,5.11
HD 114613                          ,13 12 03.1842958709 -37 48 10.879928463,4.85
HD 114474                          ,13 11 23.2158812856 -43 22 06.798085068,5.231
* 23 CVn                           ,13 20 18.9510975912 +40 09 01.967513472,5.6
HD 116706                          ,13 25 06.6781079208 +23 51 15.912465444,5.745
* 70 Vir                           ,13 28 25.8085908881 +13 46 43.638308807,4.97
* 71 Vir                           ,13 29 13.0005805560 +10 49 05.913091632,5.646
NAME NGC 5171 Group                ,13 29 22.3 +11 47 31                   ,4.7
* 64 Vir                           ,13 22 09.7048864632 +05 09 17.115496380,5.873
HD 116160                          ,13 21 41.6458462536 +02 05 14.060137272,5.687
HD 116831                          ,13 26 11.4149726232 -01 11 32.902280340,5.965
* 65 Vir                           ,13 23 18.8935109520 -04 55 27.941788128,5.858
* 66 Vir                           ,13 24 33.2485660488 -05 09 50.404470804,5.749
* i Vir                            ,13 26 43.1665407240 -12 42 27.586456056,5.25
* alf Vir                          ,13 25 11.57937 -11 09 40.7501          ,0.97
* 69 Vir                           ,13 27 27.1640367264 -15 58 24.885623784,4.75
* 63 Vir                           ,13 23 01.1146683912 -17 44 06.988406028,5.354
* gam Hya                          ,13 18 55.2971856 -23 10 17.451401      ,3
V* R Hya                           ,13 29 42.7818674 -23 16 52.774679      ,4.97
* iot Cen                          ,13 20 35.8128156095 -36 42 44.296492410,2.73
HD 116713                          ,13 26 07.8002651304 -39 45 18.308993400,5.09
HD 116835                          ,13 26 56.1163089072 -41 29 51.219711168,5.656
V* BH CVn                          ,13 34 47.8087660104 +37 10 56.691826860,4.98
* 25 CVn                           ,13 37 27.62782 +36 17 41.6337          ,4.82
* 25 CVn A                         ,13 37 27.6268608000 +36 17 41.632615356,4.953
HD 118508                          ,13 36 59.0823272160 +24 36 47.868709572,5.69
* 2 Boo                            ,13 41 02.3464437048 +22 29 44.773950840,5.58
* 1 Boo                            ,13 40 40.4692226520 +19 57 20.585922228,5.76
HD 118889                          ,13 39 34.61613 +10 44 46.5827          ,5.58
* o Vir                            ,13 34 07.9318557 +03 39 32.273821      ,4.94
* zet Vir                          ,13 34 41.5913587272 -00 35 44.939098032,3.38
* l Vir                            ,13 31 57.8850553 -06 15 20.941894      ,4.69
* 80 Vir                           ,13 35 31.2962831856 -05 23 46.288937688,5.706
* h Vir                            ,13 32 58.0715920586 -10 09 53.995068424,5.21
* y Vir                            ,13 34 40.4501961 -13 12 51.571563      ,5.932
* 75 Vir                           ,13 32 51.6423178 -15 21 46.848534      ,5.529
* 73 Vir                           ,13 32 02.8064947488 -18 43 43.960235592,5.998
HD 117716                          ,13 32 35.8976110488 -28 41 33.963610020,5.69
HD 118349A                         ,13 36 48.4534401984 -26 29 42.710523360,5.78
HD 118646                          ,13 38 42.0709958256 -29 33 39.123093744,5.81
* d Cen                            ,13 31 02.6565951 -39 24 26.298992      ,3.88
HD 118799                          ,13 39 48.5482477560 -40 03 06.146649432,5.603
HD 120047                          ,13 46 13.5455873496 +41 05 19.480664184,5.877
HD 120048                          ,13 46 19.0616824776 +38 30 13.044486168,5.919
HD 120164                          ,13 46 59.7747544992 +38 32 33.705180240,5.501
HD 119458                          ,13 42 43.4296862592 +34 59 20.474475072,5.96
HD 120819                          ,13 51 09.2157227640 +34 39 51.833773656,5.87
V* AW CVn                          ,13 51 47.4753428 +34 26 39.261252      ,4.74
HD 120420                          ,13 48 38.7352176000 +31 11 24.744142248,5.57
* 3 Boo                            ,13 46 43.3233661056 +25 42 08.054927604,5.965
* e Boo                            ,13 49 42.8247690576 +21 15 50.764729320,4.91
* ups Boo                          ,13 49 28.6407858 +15 47 52.460283      ,4.07
* tau Boo                          ,13 47 15.7381720026 +17 27 24.809555600,4.49
HD 120602                          ,13 50 24.6787096752 +05 29 49.996860540,5.993
* m Vir                            ,13 41 36.7700844816 -08 42 10.729027692,5.01
* 83 Vir                           ,13 44 29.8268293824 -16 10 44.662210068,5.567
* 87 Vir                           ,13 47 25.3912914624 -17 51 35.418569076,5.43
* 89 Vir                           ,13 49 52.2828951024 -18 08 03.009309756,4.959
* i Cen                            ,13 45 41.2439386102 -33 02 37.381099823,4.23
* g Cen                            ,13 49 26.7217509 -34 27 02.792908      ,4.19
* z Cen                            ,13 46 56.3517541416 -36 15 06.960051360,5.147
HD 121164                          ,13 53 10.2817568232 +28 38 53.275498368,5.909
* 9 Boo                            ,13 56 34.1810272752 +27 29 31.493189040,5
* 10 Boo                           ,13 58 38.9229420984 +21 41 46.319545932,5.748
* eta Boo                          ,13 54 41.07892 +18 23 51.7946          ,2.68
* 7 Boo                            ,13 53 12.9300854664 +17 55 58.327270932,5.709
HD 121980                          ,13 58 39.9070747488 +14 38 57.385659120,5.999
HD 122365                          ,14 01 20.4264941184 +08 53 41.617038696,5.973
* 92 Vir                           ,13 56 27.8767450392 +01 03 02.089900836,5.898
* tau Vir                          ,14 01 38.7934143 +01 32 40.314540      ,4.237
* p Vir                            ,13 54 42.1451337000 -01 30 11.241795960,5.159
* 47 Hya                           ,13 58 31.1464192 -24 58 20.097910      ,5.15
* 48 Hya                           ,14 00 00.1207098672 -25 00 37.456449156,5.77
HD 122430                          ,14 02 22.7821310616 -27 25 47.192750976,5.469
* h Cen                            ,13 53 12.5382897240 -31 55 39.430392240,4.73
* d Boo                            ,14 10 23.9334932664 +25 05 30.037020972,4.83
* 15 Boo                           ,14 14 50.8487473560 +10 06 02.196736560,5.32
V* CU Vir                          ,14 12 15.8054758 +02 24 33.953395      ,5.02
HD 124425                          ,14 13 40.7900927904 -00 50 43.670606172,5.9
* 95 Vir                           ,14 06 42.8232925008 -09 18 48.654853632,5.453
* kap Vir                          ,14 12 53.7453840 -10 16 25.333997      ,4.21
V* ET Vir                          ,14 10 50.4870574246 -16 18 07.310535267,4.91
* pi. Hya                          ,14 06 22.2974865 -26 40 56.502378      ,3.28
* 50 Hya                           ,14 12 46.0229491343 -27 15 40.268119429,5.08
* tet Cen                          ,14 06 40.94752 -36 22 11.8371          ,2.05
* A Boo                            ,14 17 59.8173240168 +35 30 34.244293500,4.796
* alf Boo                          ,14 15 39.67207 +19 10 56.6730          ,-0.05
V* CN Boo                          ,14 16 04.1396967072 +18 54 42.485224608,5.957
V* CY Boo                          ,14 17 28.4515048992 +15 15 48.169784628,5.8
* 18 Boo                           ,14 19 16.2797193624 +13 00 15.483901068,5.396
BD+09 2882                         ,14 23 22.69526 +08 26 47.8351          ,4.87
HD 126200                          ,14 24 00.8780861400 +08 14 38.283316044,5.93
HD 126248                          ,14 24 11.3443421 +05 49 12.467853      ,5.094
* ups Vir                          ,14 19 32.4797345232 -02 15 55.858700808,5.14
* iot Vir                          ,14 16 00.8695049 -06 00 01.963348      ,4.08
* lam Vir                          ,14 19 06.5923499 -13 22 15.945905      ,4.52
HD 124683                          ,14 15 24.0849409 -18 12 02.487932      ,5.532
HD 126218                          ,14 24 48.6248189580 -24 48 22.715551932,5.332
HD 125276                          ,14 19 00.8956927577 -25 48 55.529829905,5.87
* k Hya                            ,14 23 05.7738751800 -27 45 14.462107776,4.75
HD 125745                          ,14 22 19.7195907480 -34 47 12.448132980,5.568
HD 125283                          ,14 19 23.8801055016 -37 00 10.464691536,5.925
* psi Cen                          ,14 20 33.4322870 -37 53 07.055140      ,4.034
HD 128198                          ,14 34 38.4997711464 +36 37 33.828598956,5.999
* rho Boo                          ,14 31 49.7893292450 +30 22 17.171652275,3.59
* sig Boo                          ,14 34 40.8173867232 +29 44 42.457673940,4.47
* 26 Boo                           ,14 32 32.5421471304 +22 15 36.203742792,5.897
* f Boo                            ,14 26 27.3650870400 +19 13 36.838844688,5.394
HD 127167                          ,14 29 50.5176536400 +00 49 44.151127500,5.966
* phi Vir                          ,14 28 12.1389021744 -02 13 40.649015856,4.84
* 106 Vir                          ,14 28 41.7223108944 -06 54 01.897156080,5.418
* l Hya                            ,14 28 10.4272263008 -29 29 29.896774774,4.97
* eps Boo B                        ,14 44 59.1497672913 +27 04 29.948119279,4.801
* eps Boo                          ,14 44 59.21746 +27 04 27.2099          ,2.39
* eps Boo A                        ,14 44 59.223146 +27 04 27.14599        ,2.45
* 34 Boo                           ,14 43 25.3630456 +26 31 40.266331      ,4.79
HD 128750                          ,14 38 13.9875702624 +18 17 54.159797184,5.91
* pi.01 Boo                        ,14 40 43.5589117488 +16 25 05.975961096,4.893
* pi.02 Boo                        ,14 40 43.9257184848 +16 25 04.071486972,5.761
* omi Boo                          ,14 45 14.4602643 +16 57 51.407805      ,4.6
V* EK Boo                          ,14 46 05.94566 +15 07 54.4332          ,5.63
HD 129153                          ,14 40 42.3928801560 +13 32 03.562108152,5.925
* zet Boo                          ,14 41 08.95158 +13 43 41.8967          ,3.78
* zet Boo A                        ,14 41 08.960182 +13 43 41.81182        ,4.51
* zet Boo B                        ,14 41 08.907838 +13 43 42.30070        ,4.51
* 31 Boo                           ,14 41 38.7511938264 +08 09 42.352458552,4.862
* 108 Vir                          ,14 45 30.2044637184 +00 43 02.180202816,5.665
* 109 Vir                          ,14 46 14.9253599 +01 53 34.384496      ,3.73
* mu. Vir                          ,14 43 03.6228218 -05 39 29.532712      ,3.88
HD 129944                          ,14 46 06.7708856400 -23 09 10.913286816,5.803
* 4 Lib                            ,14 43 13.5512958192 -24 59 51.911632968,5.73
* 55 Hya                           ,14 47 22.5556927680 -25 37 27.359626548,5.609
* 56 Hya                           ,14 47 44.8064191512 -26 05 15.001924020,5.229
* c01 Cen                          ,14 43 39.4396190 -35 10 25.158650      ,4.05
HD 128974                          ,14 41 01.3897990440 -36 08 05.492768820,5.658
* c02 Cen                          ,14 44 59.2016391888 -35 11 30.583305636,4.924
HD 130917                          ,14 49 58.3985221344 +28 36 56.993162868,5.8
HD 130948                          ,14 50 15.8109853464 +23 54 42.634220112,5.867
* ksi Boo A                        ,14 51 23.3884659504 +19 06 01.619801424,4.675
* ksi Boo                          ,14 51 23.37993 +19 06 01.6994          ,4.593
HD 132146                          ,14 57 11.6778470784 +16 23 17.258057988,5.715
HD 131951                          ,14 56 13.2300928608 +14 26 46.540838544,5.892
HD 132525                          ,14 59 23.1155063784 +04 34 03.938158704,5.93
* 1 Ser                            ,14 57 33.2513485248 -00 10 03.402965280,5.512
* 11 Lib                           ,14 51 01.0720205236 -02 17 56.941059804,4.94
* 16 Lib                           ,14 57 10.9988855472 -04 20 47.251261752,4.49
* ksi02 Lib                        ,14 56 46.1150412384 -11 24 34.920108828,5.45
* 18 Lib                           ,14 58 53.5813630608 -11 08 38.462393832,5.857
* ksi01 Lib                        ,14 54 22.8741152112 -11 53 54.061357524,5.788
* mu. Lib                          ,14 49 19.05130 -14 08 56.4766          ,5.31
* alf01 Lib                        ,14 50 41.1718805688 -15 59 49.957540152,5.16
* alf02 Lib                        ,14 50 52.71309 -16 02 30.3955          ,2.75
HD 131977                          ,14 57 28.0007918772 -21 24 55.727265310,5.72
HD 130529                          ,14 49 18.7440828528 -24 15 05.288855400,5.692
* 12 Lib                           ,14 54 20.1285843312 -24 38 31.935367716,5.266
* E Hya                            ,14 50 17.3082918816 -27 57 37.300431780,4.41
HD 131432                          ,14 54 37.9141813344 -33 18 02.053069128,5.834
HD 131625                          ,14 55 44.7084250488 -33 51 20.817083448,5.312
* phi01 Lup                        ,15 21 48.3696659 -36 15 40.952469      ,3.546
* phi02 Lup                        ,15 23 09.3500506 -36 51 30.552048      ,4.54
HD 137432                          ,15 27 18.1304610624 -36 46 03.214731900,5.45
* h Lup                            ,15 42 38.3165019600 -37 25 29.781164856,5.24
* eta Lup                          ,16 00 07.3278558 -38 23 48.151245      ,3.41
HD 143699                          ,16 03 24.1894502 -38 36 09.152751      ,4.89
HD 145191                          ,16 11 17.7041502024 -41 07 11.287512984,5.857
NGC 6124                           ,16 25 19.7 -40 39 40                   ,5.8
HD 148688                          ,16 31 41.7687715992 -41 49 01.732565676,5.39
HD 149404                          ,16 36 22.5628499784 -42 51 31.902127776,5.52
HD 150742                          ,16 44 42.5926704048 -40 50 22.830249192,5.628  
HD 151804                          ,16 51 33.7218052272 -41 13 49.919519496,5.22
HD 152234                          ,16 54 01.8374467 -41 48 23.007764      ,5.45
HD 152293                          ,16 54 26.9426810760 -42 28 44.028544116,5.839
* zet02 Sco                        ,16 54 35.0050319669 -42 21 40.737010682,3.62
* zet01 Sco                        ,16 53 59.7271314888 -42 21 43.307334468,4.79
HD 152408                          ,16 54 58.5051071856 -41 09 03.093075612,5.77 
NGC 6231                           ,16 54 08.51 -41 49 36.0                ,2.6
* eta Sco                          ,17 12 09.1956531 -43 14 21.090526      ,3.33
HD 156293                          ,17 18 47.8284399264 -44 07 47.087356152,5.736
HD 157243                          ,17 24 13.0872972 -44 09 45.273534      ,5.108 
* tet Sco                          ,17 37 19.12985 -42 59 52.1808          ,1.85
HD 160928                          ,17 44 42.0095149680 -42 43 45.550054236,5.871
HD 163145                          ,17 56 47.4169480680 -44 20 31.986560220,4.849
CD-43 12272                        ,18 06 49.89312 -43 25 30.7964          ,4.95
CD-43 12272A                       ,18 06 49.8929258688 -43 25 30.800909676,5.62
CD-43 12272B                       ,18 06 49.9149403848 -43 25 29.097604128,5.68
HD 167096                          ,18 15 53.4521091432 -44 12 23.232159396,5.451
HD 168905                          ,18 24 18.2394893016 -44 06 36.918580464,5.227
* tet CrA                          ,18 33 30.1857736368 -42 18 45.029663136,4.614
HD 170521                          ,18 31 56.2238197128 -43 30 26.571390372,5.686
V* V718 CrA                        ,18 39 35.1590011992 -43 11 09.169104264,5.425
* eta01 CrA                        ,18 48 50.4897478488 -43 40 48.155963880,5.456
* eta02 CrA                        ,18 49 34.9964863680 -43 26 02.752166760,5.587
HD 175219                          ,18 56 16.9512500808 -42 42 38.423132748,5.346
* zet CrA                          ,19 03 06.8769803 -42 05 42.385816      ,4.725
HD 178322                          ,19 09 57.6520020528 -41 53 32.083602864,5.855
* alf Sgr                          ,19 23 53.1748283 -40 36 57.370456      ,3.943
V* V4089 Sgr                       ,19 34 08.4856054632 -40 02 04.702519428,5.91
V* V3961 Sgr                       ,19 51 50.6106718344 -39 52 27.738309468,5.33
HD 189831                          ,20 03 33.4666224840 -37 56 26.465857980,4.764
* alf Mic                          ,20 49 58.0810451616 -33 46 46.934378400,4.89
HD 132955                          ,15 02 59.2764966384 -32 38 35.849039748,5.437
V* HZ Lup                          ,15 06 33.1978166352 -30 55 06.533677056,5.977
* psi01 Lup                        ,15 39 45.9793075992 -34 24 42.914876364,4.661
* psi02 Lup                        ,15 42 41.0220569 -34 42 37.461720      ,4.721
HD 140784                          ,15 46 44.2174303104 -34 40 56.830010556,5.6
HD 142691                          ,15 57 21.3245873 -36 11 07.220404      ,5.83
* tet Lup                          ,16 06 35.5439828160 -36 48 08.173906632,4.201
HD 144415                          ,16 07 16.2193673808 -36 45 20.278307556,5.7
HD 143928                          ,16 04 36.8156250336 -37 51 46.612830060,5.901
HD 148247                          ,16 28 14.4703648584 -37 10 47.578336068,5.79
HR 6100                            ,16 24 31.7543889048 -37 33 57.760482924,5.414
HD 147513                          ,16 24 01.2911377368 -39 11 34.729913940,5.376
HD 151078                          ,16 46 47.9579454936 -39 22 37.071076188,5.481
C 1652-407                         ,16 55 30.00 -40 50 00.0                ,3.4
HD 155259                          ,17 12 16.2049148880 -39 30 25.016257476,5.655
HD 158799                          ,17 33 07.3890992688 -41 10 23.035778040,5.838
* iot01 Sco                        ,17 47 35.0811299 -40 07 37.189349      ,2.992
* iot02 Sco                        ,17 50 11.1117941496 -40 05 25.554554736,4.803
HD 162189                          ,17 51 32.5316991288 -40 46 20.872921980,5.958
HD 163376                          ,17 57 47.8033772 -41 42 58.661213      ,4.863
HD 166114                          ,18 11 05.5628156880 -41 21 32.814185004,5.845
V* V692 CrA                        ,18 13 12.6984255264 -41 20 09.997218708,5.462
HD 170642                          ,18 32 21.3314017 -39 42 14.402498      ,5.155
HD 172991                          ,18 44 57.1522814304 -39 41 10.278114576,5.439
* mu. CrA                          ,18 47 44.6177345928 -40 24 22.197417912,5.217
* bet CrA                          ,19 10 01.7558032 -39 20 26.864359      ,4.095
* del CrA                          ,19 08 20.9696916432 -40 29 48.112728468,4.571
HD 189195                          ,20 00 15.9329086049 -37 42 06.201377039,5.948
HD 191408                          ,20 11 11.9387690214 -36 06 04.351725607,5.32
HD 196737                          ,20 40 19.8279224592 -33 25 54.646146624,5.466
* 60 Hya                           ,15 02 06.4331233344 -28 03 38.207074932,5.824
* f Lup                            ,15 17 49.8380872 -30 08 55.216510      ,4.33
* i Lup                            ,15 14 37.3198417440 -31 31 08.845840812,4.918
* chi Lup                          ,15 50 57.5382881 -33 37 37.795321      ,3.946
* ksi02 Lup                        ,15 56 54.1128088176 -33 57 51.338030580,5.55
* ksi01 Lup                        ,15 56 53.4896401128 -33 57 58.013116056,5.08
HD 144987                          ,16 09 52.5898714152 -33 32 44.903550228,5.497
* N Sco                            ,16 31 22.9330023 -34 42 15.714620      ,4.23
* H Sco                            ,16 36 22.4719203 -35 15 19.180284      ,4.156
HR 6178                            ,16 39 05.2266008424 -37 13 02.553774384,5.914
* mu.02 Sco                        ,16 52 20.1453198 -38 01 03.125839      ,3.542
* mu.01 Sco                        ,16 51 52.2283548696 -38 02 50.638070400,2.98
HD 153368                          ,17 00 36.9893848320 -35 56 02.883388272,5.934
HD 154310                          ,17 06 20.1895074456 -37 13 39.330455520,5.98
V* V923 Sco                        ,17 03 50.9415687600 -38 09 09.259137216,5.902
HD 155826                          ,17 15 35.9021317723 -38 35 38.168900773,5.95
HD 157097                          ,17 22 54.7490787120 -37 13 14.839562316,5.914
HR 6501                            ,17 28 56.0893272024 -36 46 41.809637784,5.985
* ups Sco                          ,17 30 45.8371228 -37 17 44.928511      ,2.7
* Q Sco                            ,17 36 32.8551435432 -38 38 06.891848556,4.267
* lam Sco                          ,17 33 36.52012 -37 06 13.7648          ,1.62
HD 160668                          ,17 42 51.0974316864 -36 56 44.024727984,5.52
* kap Sco                          ,17 42 29.27520 -39 01 47.9391          ,2.386
* G Sco                            ,17 49 51.4808976914 -37 02 35.794961894,3.21
HD 163652                          ,17 58 55.6875468144 -36 51 30.148476408,5.737
* eta Sgr                          ,18 17 37.6350518 -36 45 42.066723      ,3.11
HD 168592                          ,18 22 18.5733983520 -38 39 24.826092840,5.073
V* V4050 Sgr                       ,18 22 53.0754352224 -36 40 10.400061108,5.34
* kap02 CrA                        ,18 33 23.1312973056 -38 43 33.539236896,5.59
HD 169853                          ,18 28 27.1140580824 -38 59 44.410236756,5.624
* lam CrA                          ,18 43 46.9419848160 -38 19 24.390826104,5.111
* eps CrA                          ,18 58 43.3827144528 -37 06 26.380732536,4.83
V* V686 CrA                        ,18 56 40.4859327624 -37 20 35.701261512,5.38
* gam CrA                          ,19 06 25.11014 -37 03 48.3901          ,4.21
* gam CrA A                        ,19 06 25.2146839530 -37 03 47.792348952,4.53
V* V701 CrA                        ,19 03 17.6961867024 -38 15 11.333460060,5.716
* alf CrA                          ,19 09 28.3409747 -37 54 16.102206      ,4.087
HD 180885                          ,19 19 39.9943579872 -35 25 17.253474852,5.579
* tet01 Sgr                        ,19 59 44.1783371 -35 16 34.704931      ,4.37
* tet02 Sgr                        ,19 59 51.3570446040 -34 41 52.078169184,5.299
HD 196917                          ,20 41 23.6576627064 -31 35 53.833438032,5.74
HD 134373                          ,15 10 18.6313416048 -26 19 57.451782540,5.756
* tau Lib                          ,15 38 39.3694957 -29 46 39.895604      ,3.642
HD 143790                          ,16 03 34.3588814712 -32 00 01.924226352,5.993
HD 150331                          ,16 41 45.4543295376 -33 08 44.735502012,5.836
* eps Sco                          ,16 50 09.8108127 -34 17 35.633735      ,2.29
* 27 Sco                           ,16 57 11.1748119696 -33 15 34.172238564,5.49
* k Sco                            ,17 04 49.3516568736 -34 07 22.541680380,4.87
HD 155806                          ,17 15 19.2478670712 -33 32 54.299379012,5.53
HD 156384                          ,17 18 57.16483 -34 59 23.1416          ,5.89
HD 162391                          ,17 52 19.7613514968 -34 25 00.630446052,5.85
HD 162587                          ,17 53 23.47133 -34 53 42.4372          ,5.6
V* V906 Sco                        ,17 53 54.7731227 -34 45 09.785378      ,5.96
V* V957 Sco                        ,17 52 13.6613130072 -34 47 57.109291728,5.9
HD 164870                          ,18 04 50.3785407480 -35 54 05.187633912,5.972
